FileOrder,ModelName,ModelPath,PatternType,SpeciesG_PD_Vertices,SpeciesG_PD_Edges,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeSUM,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeSUM,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeSUM,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PD_Vertices,ReactionG_PD_Edges,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMEAN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeSUM,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeSUM,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeSUM,ReactionG_PD_Density,ReactionG_PD_Reciprocity,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,NG_NumOfConstantSpecies,NG_NumOfNONConstantSpecies,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM
1,1_BIOMD0000000138.xml.ssa,./models/sbml/test/all/1_BIOMD0000000138.xml.ssa.sbml,WithProbWEAK_UNTIL,5682,1942,142743,142743,142743,142743,142743,142743,142743,142743,142743,142743,142743,142743,13396,49130,5028482,4014508,3969582,2227,1091,38221,38221,38221,38221,38221,38221,38221,38221,38221,38221,38221,38221,3939,17613,45052,34151,31220,51855,51855,11403,47284,47284,47284,47284
2,2_BIOMD0000000119.xml.ssa,./models/sbml/test/all/2_BIOMD0000000119.xml.ssa.sbml,WithProbWEAK_UNTIL,2089,944,34525,34525,34525,34525,34525,34525,34525,34525,34525,34525,34525,34525,5877,24253,51036,222621,202822,1969,1004,30371,30371,30371,30371,30371,30371,30371,30371,30371,30371,30371,30371,3838,26160,38169,34712,32371,9611,9611,2722,9243,9243,9243,9243
3,3_BIOMD0000000076.xml.ssa,./models/sbml/test/all/3_BIOMD0000000076.xml.ssa.sbml,WithProbWEAK_UNTIL,2061,1086,54410,54410,54410,54410,54410,54410,54410,54410,54410,54410,54410,54410,7279,21513,59657,762706,711346,2241,1154,39385,39385,39385,39385,39385,39385,39385,39385,39385,39385,39385,39385,6168,41700,51829,177010,156039,10993,10993,2848,15502,15502,15502,15502
4,5_BIOMD0000000283.xml.ssa,./models/sbml/test/all/5_BIOMD0000000283.xml.ssa.sbml,WithProbWEAK_UNTIL,2095,2373,97255,97255,97255,97255,97255,97255,97255,97255,97255,97255,97255,97255,10892,66713,114395,913855,844178,2087,750,38405,38405,38405,38405,38405,38405,38405,38405,38405,38405,38405,38405,5502,44427,69373,212310,190644,12510,12510,3416,15684,15684,15684,15684
5,4_BIOMD0000000104.xml.ssa,./models/sbml/test/all/4_BIOMD0000000104.xml.ssa.sbml,WithProbWEAK_UNTIL,2128,1405,44520,44520,44520,44520,44520,44520,44520,44520,44520,44520,44520,44520,20261,14799,49011,490903,462541,2062,963,40464,40464,40464,40464,40464,40464,40464,40464,40464,40464,40464,40464,5349,19689,44522,144313,128474,12476,12476,3812,13462,13462,13462,13462
6,6_BIOMD0000000124.xml.ssa,./models/sbml/test/all/6_BIOMD0000000124.xml.ssa.sbml,WithProbWEAK_UNTIL,2018,1014,40143,40143,40143,40143,40143,40143,40143,40143,40143,40143,40143,40143,5522,13278,57348,148699,132902,2346,1087,41007,41007,41007,41007,41007,41007,41007,41007,41007,41007,41007,41007,5362,13751,35954,21916,20172,12103,12103,4203,13919,13919,13919,13919
7,7_BIOMD0000000150.xml.ssa,./models/sbml/test/all/7_BIOMD0000000150.xml.ssa.sbml,WithProbWEAK_UNTIL,13405,1489,34281,34281,34281,34281,34281,34281,34281,34281,34281,34281,34281,34281,5238,15228,96565,782368,719721,1621,544,32861,32861,32861,32861,32861,32861,32861,32861,32861,32861,32861,32861,3450,23739,42981,124609,107521,22000,22000,2853,14241,14241,14241,14241
8,8_BIOMD0000000047.xml.ssa,./models/sbml/test/all/8_BIOMD0000000047.xml.ssa.sbml,WithProbWEAK_UNTIL,1367,629,28833,28833,28833,28833,28833,28833,28833,28833,28833,28833,28833,28833,5042,17802,40538,129241,114346,1332,536,46416,46416,46416,46416,46416,46416,46416,46416,46416,46416,46416,46416,3251,38217,62286,214157,195085,7195,7195,3210,18924,18924,18924,18924
9,9_BIOMD0000000006.xml.ssa,./models/sbml/test/all/9_BIOMD0000000006.xml.ssa.sbml,WithProbWEAK_UNTIL,1694,694,50029,50029,50029,50029,50029,50029,50029,50029,50029,50029,50029,50029,7748,16041,61537,201865,186028,1367,560,47278,47278,47278,47278,47278,47278,47278,47278,47278,47278,47278,47278,7508,26085,73548,183875,167857,14213,14213,3544,34153,34153,34153,34153
10,10_BIOMD0000000060.xml.ssa,./models/sbml/test/all/10_BIOMD0000000060.xml.ssa.sbml,WithProbWEAK_UNTIL,1509,860,40599,40599,40599,40599,40599,40599,40599,40599,40599,40599,40599,40599,5537,15432,61204,581420,515488,1405,701,35557,35557,35557,35557,35557,35557,35557,35557,35557,35557,35557,35557,3294,36066,65673,201517,185930,13085,13085,3333,34574,34574,34574,34574
