FileOrder,ModelName,ModelPath,PatternType,SpeciesG_PD_Vertices,SpeciesG_PD_Edges,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeSUM,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeSUM,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeSUM,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PD_Vertices,ReactionG_PD_Edges,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMEAN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeSUM,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeSUM,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeSUM,ReactionG_PD_Density,ReactionG_PD_Reciprocity,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,NG_NumOfConstantSpecies,NG_NumOfNONConstantSpecies,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM
1,1_BIOMD0000000138.xml.ssa,./models/sbml/test/all/1_BIOMD0000000138.xml.ssa.sbml,WithProbWEAK_UNTIL,2,1,0,0.5,1,1,0,0.5,1,1,1,1,1,2,0.25,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,2
2,2_BIOMD0000000119.xml.ssa,./models/sbml/test/all/2_BIOMD0000000119.xml.ssa.sbml,WithProbWEAK_UNTIL,2,1,0,0.5,1,1,0,0.5,1,1,1,1,1,2,0.25,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,2
3,3_BIOMD0000000076.xml.ssa,./models/sbml/test/all/3_BIOMD0000000076.xml.ssa.sbml,WithProbWEAK_UNTIL,3,2,0,0.666666667,1,2,0,0.666666667,1,2,1,1.333333333,2,4,0.222222222,0,1,2,1,2,3,1,1.5,2,3,1,1.5,2,3,2,2,2,4,0.75,0.666666667,1,1,0,0,3,6,2,2,2,4
4,4_BIOMD0000000104.xml.ssa,./models/sbml/test/all/4_BIOMD0000000104.xml.ssa.sbml,WithProbWEAK_UNTIL,3,2,0,0.666666667,1,2,0,0.666666667,1,2,1,1.333333333,2,4,0.222222222,0,1,2,1,2,3,1,1.5,2,3,1,1.5,2,3,2,2,2,4,0.75,0.666666667,1,1,0,0,3,6,2,2,2,4
5,5_BIOMD0000000283.xml.ssa,./models/sbml/test/all/5_BIOMD0000000283.xml.ssa.sbml,WithProbWEAK_UNTIL,4,4,0,1,2,4,0,1,2,4,1,2,4,8,0.25,0.5,1,3,1,2,5,2,2.5,3,5,2,2.5,3,5,3,3.5,4,7,1.25,1,1,1,0,0,4,8,3,3,3,6
6,6_BIOMD0000000124.xml.ssa,./models/sbml/test/all/6_BIOMD0000000124.xml.ssa.sbml,WithProbWEAK_UNTIL,4,2,0,0.5,1,2,0,0.5,1,2,1,1,1,4,0.125,0,2,1,0,2,2,1,1,1,2,1,1,1,2,1,1,1,2,0.5,1,2,0,0,0,4,8,2,2,2,4
7,7_BIOMD0000000150.xml.ssa,./models/sbml/test/all/7_BIOMD0000000150.xml.ssa.sbml,WithProbWEAK_UNTIL,4,3,0,0.75,2,3,0,0.75,1,3,1,1.5,3,6,0.1875,0,1,3,1,2,4,2,2,2,4,1,2,3,4,2,2.5,3,5,1,0.75,1,1,0,0,4,8,2,2.5,3,5
8,8_BIOMD0000000047.xml.ssa,./models/sbml/test/all/8_BIOMD0000000047.xml.ssa.sbml,WithProbWEAK_UNTIL,2,3,1,1.5,2,3,1,1.5,2,3,3,3,3,6,0.75,0.666666667,1,1,0,3,9,3,3,3,9,3,3,3,9,5,5,5,15,1,1,1,1,0,0,2,6,2,2,2,6
9,9_BIOMD0000000006.xml.ssa,./models/sbml/test/all/9_BIOMD0000000006.xml.ssa.sbml,WithProbWEAK_UNTIL,3,3,1,1,1,3,1,1,1,3,2,2,2,6,0.333333333,0,1,1,0,3,6,2,2,2,6,2,2,2,6,3,3,3,9,0.666666667,0.5,1,1,0,0,3,9,2,2,2,6
10,10_BIOMD0000000060.xml.ssa,./models/sbml/test/all/10_BIOMD0000000060.xml.ssa.sbml,WithProbWEAK_UNTIL,4,3,0,0.75,1,3,0,0.75,3,3,1,1.5,3,6,0.1875,0,1,3,1,3,9,3,3,3,9,3,3,3,9,5,5,5,15,1,1,1,1,0,0,4,12,2,2,2,6
